time,state,car_sales,car_sales2,,,,,,,,,,,,,,,,,,,,
1-Jan-12,NSW,24004,24004,,,,,,,,,,,,,,,,,,,,
1-Jan-12,VIC,20278,20278,,,,,,,,,,,,,,,,,,,,
1-Jan-12,QLD,15732,15732,,,,,,,,,,,,,,,,,,,,
1-Jan-12,SA,4622,4622,,,,,,,,,,,,,,,,,,,,
1-Jan-12,WA,9014,9014,,,,,,,,,,,,,,,,,,,,
1-Jan-12,TAS,1008,1008,,,,,,,,,,,,,,,,,,,,
1-Jan-12,NT,820,820,,,,,,,,,,,,,,,,,,,,
1-Jan-12,ACT,1305,1305,,,,,,,,,,,,,,,,,,,,
1-Feb-12,NSW,26391,26391,,,,,,,,,,,,,,,,,,,,
1-Feb-12,VIC,23270,23270,,,,,,,,,,,,,,,,,,,,
1-Feb-12,QLD,17 839,17839,,,,,,,,,,,,,,,,,,,,
1-Feb-12,SA,5 344,5344,,,,,,,,,,,,,,,,,,,,
1-Feb-12,WA,9 673,9673,,,,,,,,,,,,,,,,,,,,
1-Feb-12,TAS,1 148,1148,,,,,,,,,,,,,,,,,,,,
1-Feb-12,NT,776,776,,,,,,,,,,,,,,,,,,,,
1-Feb-12,ACT,1 282,1282,,,,,,,,,,,,,,,,,,,,
1-Mar-12,NSW,30 209,30209,,,,,,,,,,,,,,,,,,,,
1-Mar-12,VIC,26 177,26177,,,,,,,,,,,,,,,,,,,,
1-Mar-12,QLD,20 718,20718,,,,,,,,,,,,,,,,,,,,
1-Mar-12,SA,6 037,6037,,,,,,,,,,,,,,,,,,,,
1-Mar-12,WA,10 644,10644,,,,,,,,,,,,,,,,,,,,
1-Mar-12,TAS,1 361,1361,,,,,,,,,,,,,,,,,,,,
1-Mar-12,NT,1 052,1052,,,,,,,,,,,,,,,,,,,,
1-Mar-12,ACT,1 418,1418,,,,,,,,,,,,,,,,,,,,
1-Apr-12,NSW,24 426,24426,,,,,,,,,,,,,,,,,,,,
1-Apr-12,VIC,20 785,20785,,,,,,,,,,,,,,,,,,,,
1-Apr-12,QLD,17 062,17062,,,,,,,,,,,,,,,,,,,,
1-Apr-12,SA,4 746,4746,,,,,,,,,,,,,,,,,,,,
1-Apr-12,WA,8 939,8939,,,,,,,,,,,,,,,,,,,,
1-Apr-12,TAS,1 072,1072,,,,,,,,,,,,,,,,,,,,
1-Apr-12,NT,863,863,,,,,,,,,,,,,,,,,,,,
1-Apr-12,ACT,1 204,1204,,,,,,,,,,,,,,,,,,,,
1-May-12,NSW,29 811,29811,,,,,,,,,,,,,,,,,,,,
1-May-12,VIC,24 600,24600,,,,,,,,,,,,,,,,,,,,
1-May-12,QLD,20 933,20933,,,,,,,,,,,,,,,,,,,,
1-May-12,SA,5 689,5689,,,,,,,,,,,,,,,,,,,,
1-May-12,WA,11 025,11025,,,,,,,,,,,,,,,,,,,,
1-May-12,TAS,1 266,1266,,,,,,,,,,,,,,,,,,,,
1-May-12,NT,1 252,1252,,,,,,,,,,,,,,,,,,,,
1-May-12,ACT,1 493,1493,,,,,,,,,,,,,,,,,,,,
1-Jun-12,NSW,34 785,34785,,,,,,,,,,,,,,,,,,,,
1-Jun-12,VIC,28 662,28662,,,,,,,,,,,,,,,,,,,,
1-Jun-12,QLD,25 051,25051,,,,,,,,,,,,,,,,,,,,
1-Jun-12,SA,6 728,6728,,,,,,,,,,,,,,,,,,,,
1-Jun-12,WA,12 698,12698,,,,,,,,,,,,,,,,,,,,
1-Jun-12,TAS,1 443,1443,,,,,,,,,,,,,,,,,,,,
1-Jun-12,NT,1 357,1357,,,,,,,,,,,,,,,,,,,,
1-Jun-12,ACT,1 842,1842,,,,,,,,,,,,,,,,,,,,
1-Jul-12,NSW,26 594,26594,,,,,,,,,,,,,,,,,,,,
1-Jul-12,VIC,22 991,22991,,,,,,,,,,,,,,,,,,,,
1-Jul-12,QLD,18 234,18234,,,,,,,,,,,,,,,,,,,,
1-Jul-12,SA,5 298,5298,,,,,,,,,,,,,,,,,,,,
1-Jul-12,WA,9 968,9968,,,,,,,,,,,,,,,,,,,,
1-Jul-12,TAS,1 268,1268,,,,,,,,,,,,,,,,,,,,
1-Jul-12,NT,917,917,,,,,,,,,,,,,,,,,,,,
1-Jul-12,ACT,1 371,1371,,,,,,,,,,,,,,,,,,,,
1-Aug-12,NSW,28 706,28706,,,,,,,,,,,,,,,,,,,,
